228	0.0164549351	328191	1794	5
229	0.0128028393	328191	1702	5
230	0.0124049187	328191	2108	6
231	0.0126039982	328191	1702	5
240	0.0134358406	328190	2108	6
241	0.0159389973	328190	2018	6
249	0.0168499947	328190	1600	4
250	0.0162549019	328190	1600	4
251	0.0174548626	328191	1600	4
252	0.0170428753	328191	1600	4
262	0.0219490528	328191	1600	4
272	0.0172529221	328191	1600	4
10	0.0166530609	328190	2088	6
11	0.0221478939	328191	2038	6
15	0.0176539421	328190	2472	7
79	0.0178470612	328191	2352	7
80	0.020772934	328191	1712	5
81	0.0227370262	328191	1742	5
82	0.0225410461	328191	2260	6
85	0.0209720135	328191	1966	5
86	0.0266158581	328191	1884	5
87	0.0223460197	328190	1600	4
88	0.0205659866	328191	2108	6
89	0.0215580463	328191	1600	4
90	0.0260138512	328191	1620	4
91	0.0213630199	328191	1600	4
92	0.026419878	328191	1966	5
93	0.0211670399	328189	1692	5
94	0.0268118382	328191	2382	7
95	0.0278630257	328190	1814	5
96	0.0281260014	328191	2240	6
97	0.0217530727	328191	1600	4
99	0.0273990631	328191	1986	6
100	0.0284729004	328191	2056	6
101	0.0272068977	328184	2270	6
102	0.027009964	328191	1600	4
103	0.0292739868	328191	2026	6
137	0.0262188911	328191	1620	4
138	0.0286769867	328191	1864	5
141	0.0276529789	328190	2512	7
142	0.029075861	328191	2006	6
145	0.0288748741	328191	2188	6
146	0.0330460072	328191	1620	4
147	0.0336430073	328191	1620	4
148	0.0296690464	328191	2472	7
151	0.0294718742	328191	1600	4
152	0.0338389874	328191	1834	5
153	0.0340430737	328191	1844	5
154	0.0346329212	328190	1864	5
185	0.0348379612	328191	1620	4
186	0.0388560295	328191	1864	5
187	0.0350389481	328191	1946	5
188	0.0332429409	328191	2290	6
189	0.0342400074	328191	1986	6
190	0.040626049	328191	1824	5
191	0.0344338417	328190	1620	4
192	0.0334420204	328191	1620	4
193	0.0392580032	328191	2340	7
194	0.0328450203	328191	1752	5
195	0.0013110638	328191	1876	5
196	0.0011160374	328191	2046	6
197	0.005259037	328190	2384	7
198	0.0014250278	328191	2106	6
199	0.0020580292	328191	2118	6
200	0.0029239655	328191	1894	5
202	0.004958868	328191	1784	5
203	0.0017390251	328190	1600	4
204	0.0024709702	328191	2956	9
205	0.0055019855	328191	2230	6
206	0.0022768974	328191	2382	7
207	0.0018529892	328191	1742	5
208	0.0033140182	328191	1936	5
209	0.0404219627	328191	2602	7
211	0.0399260521	328191	1996	6
